Title,Author,Genre,Rating,Description,URL,Year
Pride and Prejudice,Jane Austen,Classic,4.8,A romantic novel that critiques the British landed gentry at the end of the 18th century.,https://www.gutenberg.org/ebooks/1342,1927
Moby-Dick,Herman Melville,Classic,4.5,"The narrative of Captain Ahab's obsessive quest to kill the white whale, Moby Dick.",https://www.gutenberg.org/ebooks/2701,2006
Great Expectations,Charles Dickens,Classic,4.6,The story of the orphan Pip and his growth and personal development.,https://www.gutenberg.org/ebooks/1400,1983
War and Peace,Leo Tolstoy,Classic,4.7,A historical novel that chronicles the French invasion of Russia.,https://www.gutenberg.org/ebooks/2600,1967
Jane Eyre,Charlotte Brontë,Classic,4.8,"The experiences of the orphaned Jane Eyre, including her growth to adulthood.",https://www.gutenberg.org/ebooks/1260,1990
The Great Gatsby,F. Scott Fitzgerald,Classic,4.4,A critique of the American Dream through the story of Jay Gatsby.,https://www.gutenberg.org/ebooks/64317,1935
Crime and Punishment,Fyodor Dostoevsky,Classic,4.7,The mental anguish and moral dilemmas of an impoverished ex-student.,https://www.gutenberg.org/ebooks/2554,1924
Wuthering Heights,Emily Brontë,Classic,4.5,A tale of passion and revenge on the Yorkshire moors.,https://www.gutenberg.org/ebooks/768,1913
The Odyssey,Homer,Classic,4.6,The epic journey of Odysseus returning home after the Trojan War.,https://www.gutenberg.org/ebooks/1727,1948
The Scarlet Letter,Nathaniel Hawthorne,Classic,4.4,"A story of sin, guilt, and redemption in Puritan Massachusetts.",https://www.gutenberg.org/ebooks/25344,1923
The Hobbit,J.R.R. Tolkien,Fantasy,4.8,Bilbo Baggins' unexpected journey to win a share of treasure guarded by a dragon.,https://www.gutenberg.org/ebooks/65456,2013
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,4.7,Alice's adventures after falling through a rabbit hole into a fantasy world.,https://www.gutenberg.org/ebooks/11,1925
The Wonderful Wizard of Oz,L. Frank Baum,Fantasy,4.6,Dorothy's journey in the magical land of Oz.,https://www.gutenberg.org/ebooks/55,2003
Peter Pan,J.M. Barrie,Fantasy,4.5,The adventures of Peter Pan and the Darling children in Neverland.,https://www.gutenberg.org/ebooks/16,1933
A Princess of Mars,Edgar Rice Burroughs,Fantasy,4.4,John Carter's adventures on Mars among alien races.,https://www.gutenberg.org/ebooks/62,1904
The Time Machine,H.G. Wells,Fantasy,4.5,A scientist's journey into the distant future using his time machine.,https://www.gutenberg.org/ebooks/35,1907
The Chronicles of Narnia,C.S. Lewis,Fantasy,4.7,The adventures of children in the magical land of Narnia.,https://www.gutenberg.org/ebooks/651,2016
The King of Elfland's Daughter,Lord Dunsany,Fantasy,4.4,A tale of the marriage between a mortal prince and an elf princess.,https://www.gutenberg.org/ebooks/708,1946
Phantastes,George MacDonald,Fantasy,4.3,A young man's journey through a dreamlike fairyland.,https://www.gutenberg.org/ebooks/325,1948
The Princess and the Goblin,George MacDonald,Fantasy,4.5,Princess Irene's adventures with goblins and her friend Curdie.,https://www.gutenberg.org/ebooks/708,1952
Pride and Prejudice,Jane Austen,Romance,4.8,A romantic novel that critiques the British landed gentry at the end of the 18th century.,https://www.gutenberg.org/ebooks/1342,1919
Jane Eyre,Charlotte Brontë,Romance,4.8,"The experiences of the orphaned Jane Eyre, including her growth to adulthood.",https://www.gutenberg.org/ebooks/1260,1975
Wuthering Heights,Emily Brontë,Romance,4.5,A tale of passion and revenge on the Yorkshire moors.,https://www.gutenberg.org/ebooks/768,2000
Emma,Jane Austen,Romance,4.6,The story of Emma Woodhouse's misguided matchmaking efforts.,https://www.gutenberg.org/ebooks/158,1920
Sense and Sensibility,Jane Austen,Romance,4.7,The Dashwood sisters navigate love and heartbreak.,https://www.gutenberg.org/ebooks/161,1952
Persuasion,Jane Austen,Romance,4.6,Anne Elliot's second chance at love with Captain Wentworth.,https://www.gutenberg.org/ebooks/105,1944
North and South,Elizabeth Gaskell,Romance,4.5,Margaret Hale's experiences in the industrial town of Milton.,https://www.gutenberg.org/ebooks/4276,1990
The Age of Innocence,Edith Wharton,Romance,4.4,A story of love and societal expectations in 1870s New York.,https://www.gutenberg.org/ebooks/541,1929
Anna Karenina,Leo Tolstoy,Romance,4.7,The tragic love affair between Anna Karenina and Count Vronsky.,https://www.gutenberg.org/ebooks/1399,1946
